timestamp,us_total_market_cap_usd,china_total_market_cap_usd,us_pct_change,china_pct_change,leader,top_movers,companies_json
2026-07-30 14:44,16032936600000.00,932579380000.00,,,n/a,,"{""NVDA"":4786791999999.999,""MSFT"":3352118800000.0,""GOOGL"":4023491999999.9995,""META"":1377413800000.0,""AMZN"":2493120000000.0,""BABA"":234355999999.99997,""BIDU"":33129240000.000004,""PDD"":115541500000.0,""0700.HK"":549552640000.0}"
2026-07-30 14:44,16025941200000.00,932575770000.00,-0.0436,-0.0004,tie,"GOOGL -0.1%, META -0.0%","{""NVDA"":4784449600000.0,""MSFT"":3352453150000.0,""GOOGL"":4020345999999.9995,""META"":1376727449999.9998,""AMZN"":2491965000000.0,""BABA"":234325249999.99997,""BIDU"":33122880000.000004,""PDD"":115575000000.0,""0700.HK"":549552640000.0}"
2026-07-30 15:06,15975561900000.00,933336080000.00,-0.3144,0.0815,China,"MSFT -1.3%, META +1.2%","{""NVDA"":4758244000000.0,""MSFT"":3308281799999.9995,""GOOGL"":4024943999999.9995,""META"":1393912100000.0,""AMZN"":2490180000000.0,""BABA"":234684000000.0,""BIDU"":33256439999.999996,""PDD"":115843000000.00002,""0700.HK"":549552640000.0}"
2026-07-30 16:39,16041317650000.00,936597270000.00,0.0959,0.4312,China,"BIDU +1.9%, BABA +1.2%","{""NVDA"":4727012000000.0,""MSFT"":3379906999999.9995,""GOOGL"":4052289999999.9995,""META"":1374603650000.0,""AMZN"":2507505000000.0,""BABA"":237174749999.99997,""BIDU"":33758879999.999996,""PDD"":116111000000.00002,""0700.HK"":549552640000.0}"
2026-07-30 16:49,16010600250000.00,935772140000.00,-0.1915,-0.0881,China,"GOOGL -0.4%, BABA -0.3%","{""NVDA"":4719692000000.0,""MSFT"":3375449000000.0,""GOOGL"":4037709500000.0,""META"":1372376250000.0,""AMZN"":2505373500000.0,""BABA"":236426499999.99997,""BIDU"":33755700000.000004,""PDD"":116037300000.0,""0700.HK"":549552640000.0}"
2026-07-31 00:40,16016772700000.00,939356880000.00,0.0386,0.3831,China,"META +1.7%, AMZN -1.3%","{""NVDA"":4758976000000.0,""MSFT"":3351673000000.0,""GOOGL"":4037286000000.0,""META"":1396087699999.9998,""AMZN"":2472750000000.0,""BABA"":238455999999.99997,""BIDU"":34178640000.0,""PDD"":117169600000.0,""0700.HK"":549552640000.0}"
2026-07-31 12:08,16016772700000.00,909138560000.00,0.0000,-3.2169,US,"0700.HK +0.7%, NVDA +0.0%","{""NVDA"":4758976000000.0,""MSFT"":3351673000000.0,""GOOGL"":4037286000000.0,""META"":1396087699999.9998,""AMZN"":2472750000000.0,""BABA"":238455999999.99997,""PDD"":117169600000.0,""0700.HK"":553512960000.0}"
2026-07-31 14:03,16664095750000.00,952614730000.00,4.0415,4.7821,China,"AMZN +14.8%, GOOGL +3.7%","{""NVDA"":4808996000000.0,""MSFT"":3421329250000.0,""GOOGL"":4187507499999.9995,""META"":1407535500000.0,""AMZN"":2838727500000.0,""BABA"":247301750000.0,""BIDU"":34563420000.0,""PDD"":117236600000.0,""0700.HK"":553512960000.0}"
2026-07-31 14:13,16564526850000.00,951079850000.00,-0.5975,-0.1611,China,"AMZN -0.9%, NVDA -0.9%","{""NVDA"":4765075999999.999,""MSFT"":3394098300000.0,""GOOGL"":4180791999999.9995,""META"":1411925550000.0,""AMZN"":2812635000000.0,""BABA"":246676499999.99997,""BIDU"":34377390000.0,""PDD"":116513000000.0,""0700.HK"":553512960000.0}"
2026-07-31 14:23,16616069000000.00,952189388000.00,0.3112,0.1167,US,"NVDA +0.9%, META +0.9%","{""NVDA"":4808752000000.0,""MSFT"":3374631700000.0,""GOOGL"":4197066500000.0,""META"":1424033800000.0002,""AMZN"":2811585000000.0,""BABA"":247445250000.0,""BIDU"":34557378000.0,""PDD"":116673800000.0,""0700.HK"":553512960000.0}"
2026-07-31 14:33,16643138850000.00,953658470000.00,0.1629,0.1543,tie,"AMZN +1.5%, META -0.7%","{""NVDA"":4807776000000.0,""MSFT"":3361963550000.0,""GOOGL"":4204387000000.0005,""META"":1414062300000.0,""AMZN"":2854950000000.0,""BABA"":248009000000.0,""BIDU"":34692210000.0,""PDD"":117444300000.0,""0700.HK"":553512960000.0}"
